Fine name,pdfsize,metadatasize,/Page,xrefLength,titlecharacters,/Encrypt,images,text,PDFHeader,obj,endobj,stream,endstream,xref,trailer,startxref,/ObjStm,/JS,/JavaScript,/AA,/OpenAction,/AcroForm,/JBIG2Decode,/RichMedia,/Launch,/EmbeddedFile,/XFA,/Colors > 2^24,Class
3127,14.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
6013,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
5729,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
8844,12.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
2213,12.0,180.0,1.0,8.0,0.0,0.0,1,No,	%PDF-1.4,245,245,4.0,165,2,1.0,2,0.0,2,11,2,2,1,1,1,2,1,1,0.0,Malicious
2324,4.0,180.0,1.0,14.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
4220,7.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.3,51,50,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
5477,16.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
4746,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.4,104,103,3.0,141,2,1.0,2,0.0,12,16,1,1,2,1,1,1,1,1,0.0,Malicious
1814,15.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
8816,2.0,180.0,1.0,111714.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
7273,16.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.0,20,19,3.0,141,1,1.0,1,0.0,16,23,1,1,1,1,1,1,1,1,0.0,Malicious
865,37.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.4,4,3,2.0,98,2,1.0,2,0.0,2,11,1,1,1,1,1,1,1,1,0.0,Malicious
3915,3.0,180.0,0.0,9.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
8467,13.0,180.0,1.0,348.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
2333,21.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
9793,12.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.4,4,3,2.0,98,2,1.0,2,0.0,2,11,1,1,1,1,1,1,1,1,0.0,Malicious
302,1.0,180.0,1.0,111612.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
7189,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.5,77,76,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
6676,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.4,245,245,4.0,165,2,1.0,2,0.0,2,11,2,2,1,1,1,2,1,1,0.0,Malicious
6184,4.0,180.0,1.0,14.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
1561,8.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.3,51,50,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
8381,7.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
11,23.0,277.0,1.0,26.0,0.0,0.0,1,No,	%PDF-1.7,195,195,8.0,217,2,1.0,2,0.0,12,16,1,2,1,1,1,1,1,1,0.0,Malicious
8281,74.0,304.0,1.0,16.0,6.0,0.0,0,unclear,	%PDF-1.3,65,64,11.0,15,1,0.0,2,4.0,1,2,1,1,2,1,1,1,1,1,0.0,Malicious
4272,13.0,180.0,1.0,348.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
702,14.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
3480,2.0,180.0,1.0,111612.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
9325,2.0,180.0,1.0,111612.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
5811,8.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
4372,7.0,250.0,1.0,15.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
4409,8.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
6,8.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
61,12.0,258.0,1.0,31.0,0.0,0.0,1,No,	%PDF-1.7,153,153,6.0,193,2,1.0,2,0.0,12,16,1,2,1,1,1,1,1,1,0.0,Malicious
7789,2.0,180.0,0.0,8.0,0.0,0.0,1,No,	%PDF-1.4,245,245,4.0,165,2,1.0,2,0.0,2,11,2,2,1,1,1,2,1,1,0.0,Malicious
828,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.4,206,195,3.0,141,2,1.0,2,0.0,2,11,2,2,1,1,1,2,1,1,0.0,Malicious
5074,7.0,201.0,1.0,996.0,0.0,0.0,1,No,	%PDF-1.3,77,76,4.0,165,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
9920,8.0,256.0,2.0,22.0,15.0,0.0,1,Yes,	%PDF-1.4,153,153,11.0,15,2,1.0,2,0.0,24,28,1,1,1,1,1,1,1,1,0.0,Malicious
9792,15.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.6,153,153,10.0,4,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
1518,12.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.0,20,19,3.0,141,1,1.0,1,0.0,16,23,1,1,1,1,1,1,1,1,0.0,Malicious
2630,3.0,250.0,1.0,15.0,0.0,0.0,1,No,	%PDF-1.4,130,129,1.0,2,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
3615,17.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
4159,15.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.6,281,281,33.0,147,1,0.0,7,6.0,1,1,1,1,2,1,1,1,18,1,0.0,Malicious
1638,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.3,104,103,5.0,182,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
9262,17.0,352.0,7.0,25.0,14.0,0.0,1,Yes,	%PDF-1.4,195,195,4.0,165,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
1060,1.0,180.0,1.0,111612.0,0.0,0.0,1,No,	%PDF-1.3,186,186,8.0,217,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
9637,76.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.3,38,37,3.0,141,2,1.0,2,0.0,2,11,1,1,1,1,1,1,1,1,0.0,Malicious
1446,10.0,388.0,4.0,18.0,10.0,0.0,1,Yes,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
3958,15.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.3,104,103,5.0,182,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
9952,10.0,180.0,15.0,45.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
1653,14.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.4,130,129,1.0,2,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
4962,16.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
9169,7.0,239.0,1.0,10.0,8.0,0.0,1,Yes,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
7862,8.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.3,51,50,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
6150,17.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.3,51,50,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
2574,12.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
3208,12.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
9194,2.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.4,4,3,2.0,98,2,1.0,2,0.0,2,11,1,1,1,1,1,1,1,1,0.0,Malicious
1218,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.3,165,165,7.0,206,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
8964,2.0,180.0,1.0,111612.0,0.0,0.0,1,No,	%PDF-1.4,165,165,6.0,193,2,1.0,1,0.0,12,12,2,5,1,1,1,1,1,1,0.0,Malicious
9372,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.0,20,19,3.0,141,1,1.0,1,0.0,16,23,1,1,1,1,1,1,1,1,0.0,Malicious
1377,10.0,180.0,31.0,70.0,0.0,0.0,1,No,	%PDF-1.3,51,50,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
8117,15.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.0,20,19,3.0,141,1,1.0,1,0.0,16,23,1,1,1,1,1,1,1,1,0.0,Malicious
105,62.0,299.0,1.0,10.0,21.0,0.0,1,Yes,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
3683,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.3,38,37,1.0,2,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
5119,15.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
761,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.4,77,76,2.0,98,2,1.0,2,0.0,2,11,1,1,2,1,1,1,1,1,0.0,Malicious
6231,17.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
7397,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.1,165,165,6.0,193,2,1.0,1,0.0,12,12,2,5,1,1,1,1,1,1,0.0,Malicious
6839,4.0,216.0,1.0,28.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
5822,17.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.4,65,64,6.0,193,2,1.0,2,0.0,16,23,1,1,1,1,1,1,1,1,0.0,Malicious
913,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
4054,3.0,180.0,0.0,8.0,0.0,0.0,1,No,	%PDF-1.5,77,76,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
8669,10.0,256.0,1.0,16.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
2225,8.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.4,77,76,7.0,206,2,1.0,2,0.0,16,23,1,1,1,1,1,1,1,1,0.0,Malicious
6087,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.1,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
6191,78.0,367.0,1.0,16.0,16.0,0.0,0,unclear,	%PDF-1.4,104,103,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
2927,15.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.3,51,50,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
1028,38.0,338.0,1.0,200006.0,13.0,0.0,1,Yes,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
4072,12.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.7,104,103,1.0,2,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
2208,16.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.4,195,195,4.0,165,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
2089,8.0,246.0,1.0,19.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
2329,7.0,257.0,3.0,16.0,50.0,0.0,1,Yes,	%PDF-1.4,104,103,3.0,141,2,1.0,2,0.0,12,16,1,1,2,1,1,1,1,1,0.0,Malicious
8546,216.0,280.0,1.0,52.0,0.0,0.0,1,No,	%PDF-1.3,77,76,4.0,165,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
2636,15.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.6,153,153,10.0,4,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
1648,8.0,180.0,1.0,11.0,0.0,0.0,1,No,	%PDF-1.4,38,37,5.0,182,2,1.0,2,0.0,12,16,1,1,1,1,1,1,1,1,0.0,Malicious
7391,12.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.6%â,281,2,33.0,1,1,0.0,1,6.0,1,1,1,1,2,1,1,1,18,1,0.0,Malicious
4907,11.0,296.0,1.0,10.0,16.0,0.0,1,Yes,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
7720,1.0,180.0,1.0,111113.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
7395,10.0,258.0,1.0,31.0,0.0,0.0,1,No,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
1976,15.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.3,51,50,3.0,141,2,1.0,2,0.0,2,11,1,2,1,1,1,1,1,1,0.0,Malicious
6344,2.0,180.0,0.0,8.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
9832,7.0,298.0,1.0,16.0,2.0,0.0,0,unclear,	%PDF-1.5,77,76,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
1480,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.4,4,3,2.0,98,2,1.0,2,0.0,2,11,1,1,1,1,1,1,1,1,0.0,Malicious
5744,275.0,296.0,1.0,81.0,8.0,0.0,2,No,	%PDF-1.3,51,50,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
8868,77.0,373.0,1.0,16.0,16.0,0.0,0,unclear,	%PDF-1.3,4,3,3.0,141,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
2798,9.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.4,153,153,11.0,15,2,1.0,2,0.0,24,28,1,1,1,1,1,1,1,1,0.0,Malicious
2856,15.0,224.0,0.0,20.0,7.0,0.0,1,No,	%PDF-1.5,77,76,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
1459,16.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
8642,2.0,180.0,1.0,111614.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
3676,8.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.3,65,64,2.0,98,2,1.0,2,0.0,12,16,1,2,2,1,1,1,1,1,0.0,Malicious
2141,13.0,180.0,1.0,9.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
7499,8.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.7,130,129,5.0,182,2,1.0,2,0.0,12,16,1,2,1,1,1,1,1,1,0.0,Malicious
173,4.0,180.0,1.0,8.0,0.0,0.0,1,No,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
4469,11.0,180.0,5.0,88.0,0.0,0.0,1,Yes,	%PDF-1.6,130,129,9.0,229,2,1.0,2,0.0,1,1,1,1,2,1,1,1,17,2,0.0,Malicious
7667,17.0,180.0,1.0,10.0,0.0,0.0,1,No,	%PDF-1.4,195,195,4.0,165,2,1.0,2,0.0,2,2,1,2,1,1,1,1,1,1,0.0,Malicious
